date,total_repositories,total_stars,total_forks,total_watchers,organization_members,unique_contributors,total_open_issues,total_open_prs,active_repos_30d,scholar_authors,scholar_citations,scholar_publications,scholar_h_index,youtube_subscribers,youtube_views,youtube_videos,slack_members,pypi_downloads
2025-11-10,0,0,0,0,0,0,0,0,0,2,3280,20,12,130,156,24,0,824
2025-11-11,23,33,27,33,15,14,7,0,1,0,0,0,0,0,159,0,0,631
2025-11-12,23,33,27,33,15,14,7,0,1,0,0,0,0,0,160,0,0,630
2025-11-13,23,33,27,33,15,14,7,0,1,0,0,0,0,130,3313,27,0,631
2025-11-14,23,33,27,33,15,14,7,0,1,0,0,0,0,130,3328,27,0,622
2025-11-15,23,33,27,33,15,14,7,0,1,0,0,0,0,131,3339,27,0,613
2025-11-16,23,33,27,33,15,14,7,0,1,0,0,0,0,131,3340,27,0,616
2025-11-17,23,33,27,33,15,14,7,0,1,0,0,0,0,131,3342,27,0,625
2025-11-18,23,33,27,33,15,14,7,0,1,0,0,0,0,131,3343,27,0,623
2025-11-19,23,33,27,33,15,14,7,0,1,0,0,0,0,131,3345,27,0,628
2025-11-20,23,33,27,33,15,14,7,0,1,0,0,0,0,131,3346,27,0,629
2025-11-21,23,33,27,33,15,14,7,0,1,0,0,0,0,131,3347,27,0,612
2025-11-22,23,33,27,33,15,14,7,0,1,0,0,0,0,131,3349,27,0,609
2025-11-23,23,33,27,33,15,14,7,0,1,0,0,0,0,131,3351,27,0,608
2025-11-24,23,33,27,33,15,14,7,0,1,0,0,0,0,131,3351,27,0,597
2025-11-25,23,33,27,33,15,14,7,0,1,0,0,0,0,131,3355,27,0,603
2025-11-26,23,33,27,33,15,14,7,0,1,0,0,0,0,131,3355,27,0,620
2025-11-27,23,33,27,33,15,14,7,0,1,0,0,0,0,131,3362,27,0,622
2025-11-28,23,33,27,33,15,14,7,0,1,0,0,0,0,131,3364,27,0,623
2025-11-29,23,33,27,33,15,14,7,0,1,0,0,0,0,131,3364,27,0,612
2025-11-30,23,33,27,33,15,14,7,0,1,0,0,0,0,131,3364,27,0,602
2025-12-01,23,33,27,33,15,14,7,0,1,0,0,0,0,132,3364,27,0,588
2025-12-02,23,33,27,33,15,14,7,0,1,0,0,0,0,132,3365,27,0,300
2025-12-03,23,33,27,33,15,14,7,0,1,0,0,0,0,132,3366,27,0,602
2025-12-04,23,33,27,33,15,14,7,0,1,0,0,0,0,132,3375,27,0,595
